Processed DateTime,Device Make,Aperture (f/_),ISO,Image Width,File Path,Filename,File Size,Focal Length (mm),Image DateTime,Device Model,Image Format,Image Mode,Megapixels,Image Height,Shutter Speed,Image Size
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-09 13:23:30 sketch.jpg,2020-10-09 13:23:30 sketch.jpg,6223535,3.039,2020-10-09 13:23:30,RP_imx219,JPEG,RGB,4.9,1920,0.00035,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 11:09:42 sketch.jpg,2020-10-09 11:09:42 sketch.jpg,1261465,3.039,2020-10-09 11:09:42,RP_imx219,JPEG,RGB,1.2,960,0.001144,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:14:25 watercolor.jpg,2020-10-27 11:14:25 watercolor.jpg,6089613,3.039,2020-10-27 11:14:25,RP_imx219,JPEG,RGB,4.9,1920,0.001389,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 10:40:51 emboss.jpg,2020-10-27 10:40:51 emboss.jpg,3779548,3.039,2020-10-27 10:40:51,RP_imx219,JPEG,RGB,4.9,1920,0.001957,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,1280,/home/pi/picamera/output/2020-10-09 11:09:47 negative.jpg,2020-10-09 11:09:47 negative.jpg,745623,3.039,2020-10-09 11:09:47,RP_imx219,JPEG,RGB,1.2,960,0.001163,"(1280, 960)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-09 13:23:33 cartoon.jpg,2020-10-09 13:23:33 cartoon.jpg,2641334,3.039,2020-10-09 13:23:33,RP_imx219,JPEG,RGB,4.9,1920,0.00035,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 10:40:59 colorpoint.jpg,2020-10-27 10:40:59 colorpoint.jpg,2966056,3.039,2020-10-27 10:40:59,RP_imx219,JPEG,RGB,4.9,1920,0.001919,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:21:38 sketch.jpg,2020-10-27 11:21:38 sketch.jpg,6077403,3.039,2020-10-27 11:21:38,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:46:54 colorpoint.jpg,2020-10-27 11:46:54 colorpoint.jpg,3246869,3.039,2020-10-27 11:46:54,RP_imx219,JPEG,RGB,4.9,1920,0.000709,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 10:40:48 negative.jpg,2020-10-27 10:40:48 negative.jpg,2973650,3.039,2020-10-27 10:40:48,RP_imx219,JPEG,RGB,4.9,1920,0.001957,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:21:51 solarize.jpg,2020-10-27 11:21:51 solarize.jpg,3057804,3.039,2020-10-27 11:21:51,RP_imx219,JPEG,RGB,4.9,1920,0.001352,"(2560, 1920)"
2020-10-27 14:37:22.931043,RaspberryPi,2.0,50,2560,/home/pi/picamera/output/2020-10-27 11:32:29 sketch.jpg,2020-10-27 11:32:29 sketch.jpg,6074522,3.039,2020-10-27 11:32:29,RP_imx219,JPEG,RGB,4.9,1920,0.001257,"(2560, 1920)"
